event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3202,M,2000,239.81869602763385,14663.372184277136,-4.570840376985083,Rocket City
3202,M,2001,247.89726162332545,14663.372184277136,3.5077252187065215,Rocket City
3202,M,2002,237.3624933119315,14663.372184277136,-7.0270430926874115,Rocket City
3202,M,2003,235.57271547248183,14663.372184277136,-8.816820932137095,Rocket City
3202,M,2004,234.1405834777585,14663.372184277136,-10.24895292686042,Rocket City
3202,M,2005,243.6077947845805,14663.372184277136,-0.7817416200384286,Rocket City
3202,M,2006,246.4558077110786,14663.372184277136,2.066271306459657,Rocket City
3202,M,2007,249.61232209737827,14663.372184277136,5.222785692759347,Rocket City
3202,M,2008,242.364453125,14663.372184277136,-2.0250832796189266,Rocket City
3202,M,2009,242.99966309948474,14663.372184277136,-1.3898733051341878,Rocket City
3202,M,2010,246.09763124199745,14663.372184277136,1.7080948373785152,Rocket City
3202,M,2011,249.46461401160195,14663.372184277136,5.075077606983026,Rocket City
3202,M,2012,258.9344028520499,14663.372184277136,14.544866447430984,Rocket City
3202,M,2013,252.15567031186717,14663.372184277136,7.766133907248241,Rocket City
3202,M,2014,249.6423603403626,14663.372184277136,5.252823935743648,Rocket City
3202,M,2015,257.2660173160173,14663.372184277136,12.876480911398387,Rocket City
3202,M,2016,253.42312312312313,14663.372184277136,9.033586718504193,Rocket City
3202,M,2017,251.79970605526162,14663.372184277136,7.410169650642699,Rocket City
3202,M,2018,254.06439655172414,14663.372184277136,9.67486014710521,Rocket City
3202,M,2019,252.5821144674086,14663.372184277136,8.192578062789654,Rocket City
3213,F,2002,264.1409722222222,16676.58550398963,-13.802119510938276,Lost Dutchman
3213,F,2003,267.64935275080904,16676.58550398963,-10.293738982351442,Lost Dutchman
3213,F,2004,269.8771505376344,16676.58550398963,-8.065941195526102,Lost Dutchman
3213,F,2005,271.46666666666664,16676.58550398963,-6.476425066493842,Lost Dutchman
3213,F,2006,267.47526455026457,16676.58550398963,-10.467827182895963,Lost Dutchman
3213,F,2008,275.58177083333334,16676.58550398963,-2.3613208998271755,Lost Dutchman
3213,F,2009,271.6578260869565,16676.58550398963,-6.285265646204,Lost Dutchman
3213,F,2010,278.275,16676.58550398963,0.33190826683949126,Lost Dutchman
3213,F,2011,274.88373983739837,16676.58550398963,-3.05935189576212,Lost Dutchman
3213,F,2012,274.3347967479675,16676.58550398963,-3.608294985193,Lost Dutchman
3213,F,2013,284.78541666666666,16676.58550398963,6.842324933506158,Lost Dutchman
3213,F,2014,285.20768321513,16676.58550398963,7.264591481969486,Lost Dutchman
3213,F,2015,278.54593495934955,16676.58550398963,0.6028432261890582,Lost Dutchman
3213,F,2016,289.7502801120448,16676.58550398963,11.807188378884288,Lost Dutchman
3213,F,2017,304.28112094395277,16676.58550398963,26.33802921079229,Lost Dutchman
3213,F,2018,284.7473611111111,16676.58550398963,6.80426937795061,Lost Dutchman
3213,F,2019,282.3722222222222,16676.58550398963,4.429130489061693,Lost Dutchman
3213,M,2002,249.81953642384104,15583.95101436293,-9.912980482207786,Lost Dutchman
3213,M,2003,258.5910194174757,15583.95101436293,-1.1414974885731075,Lost Dutchman
3213,M,2004,249.51801541425817,15583.95101436293,-10.214501491790664,Lost Dutchman
3213,M,2005,255.1439311594203,15583.95101436293,-4.588585746628541,Lost Dutchman
3213,M,2006,250.7998039215686,15583.95101436293,-8.932712984480228,Lost Dutchman
3213,M,2008,248.8348245614035,15583.95101436293,-10.897692344645323,Lost Dutchman
3213,M,2009,252.37683982683984,15583.95101436293,-7.355677079208999,Lost Dutchman
3213,M,2010,260.41174768518516,15583.95101436293,0.679230779136348,Lost Dutchman
3213,M,2011,255.11315789473684,15583.95101436293,-4.619359011312008,Lost Dutchman
3213,M,2012,255.38087774294672,15583.95101436293,-4.351639163102118,Lost Dutchman
3213,M,2013,260.0824283559578,15583.95101436293,0.3499114499089349,Lost Dutchman
3213,M,2014,269.06519097222224,15583.95101436293,9.332674066173391,Lost Dutchman
3213,M,2015,266.17495636998257,15583.95101436293,6.442439463933715,Lost Dutchman
3213,M,2016,264.5617886178862,15583.95101436293,4.829271711837342,Lost Dutchman
3213,M,2017,275.1737226277372,15583.95101436293,15.441205721688371,Lost Dutchman
3213,M,2018,273.96197916666665,15583.95101436293,14.229462260617826,Lost Dutchman
3213,M,2019,270.4429672447014,15583.95101436293,10.710450338652512,Lost Dutchman
3225,F,1999,281.25384615384615,16917.20862373317,-0.699630908373365,Carlsbad
3225,F,2000,284.27990900383145,16917.20862373317,2.3264319416119177,Carlsbad
3225,F,2001,291.3186785550983,16917.20862373317,9.365201492878805,Carlsbad
3225,F,2002,284.1084840055633,16917.20862373317,2.155006943343748,Carlsbad
3225,F,2003,285.0750579508577,16917.20862373317,3.1215808886381637,Carlsbad
3225,F,2004,283.8956688596491,16917.20862373317,1.9421917974295866,Carlsbad
3225,F,2005,288.2255381604697,16917.20862373317,6.272061098250136,Carlsbad
3225,F,2006,283.3734485815603,16917.20862373317,1.4199715193407731,Carlsbad
3225,F,2007,282.07362924281983,16917.20862373317,0.12015218060029535,Carlsbad
3225,F,2008,283.66865443425075,16917.20862373317,1.7151773720312122,Carlsbad
3225,F,2009,276.45925058548005,16917.20862373317,-5.494226476739459,Carlsbad
