prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9525.0, 9615.0)",51.08256237659907,96107,2015,M,2.658333333333333,52.98538769073583,-1.9028253141367557,Chicago
"[9525.0, 9615.0)",9.531017980432493,96107,2016,M,2.658333333333333,52.98538769073583,-43.45436971030333,Chicago
"[9525.0, 9615.0)",78.84573603642703,96107,2017,M,2.658333333333333,52.98538769073583,25.8603483456912,Chicago
"[9525.0, 9615.0)",60.61358035703155,96107,2018,M,2.658333333333333,52.98538769073583,7.628192666295725,Chicago
"[9525.0, 9615.0)",79.49298748698877,96107,2019,M,2.658333333333333,52.98538769073583,26.50759979625294,Chicago
"[9615.0, 9675.0)",-51.08256237659907,34956,1997,M,2.6791666666666667,-57.36071965412566,6.278157277526589,Grandmas
"[9615.0, 9675.0)",-51.08256237659907,34956,1998,M,2.6791666666666667,-57.36071965412566,6.278157277526589,Grandmas
"[9615.0, 9675.0)",-120.39728043259362,34956,2000,M,2.6791666666666667,-57.36071965412566,-63.03656077846796,Grandmas
"[9615.0, 9675.0)",-40.54651081081644,34956,2003,M,2.6791666666666667,-57.36071965412566,16.814208843309217,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2006,M,2.6791666666666667,-57.36071965412566,-11.953998401868873,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2007,M,2.6791666666666667,-57.36071965412566,-11.953998401868873,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2010,M,2.6791666666666667,-57.36071965412566,-11.953998401868873,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2011,M,2.6791666666666667,-57.36071965412566,-11.953998401868873,Grandmas
"[9615.0, 9675.0)",69.31471805599453,34956,2012,M,2.6791666666666667,-57.36071965412566,126.67543771012019,Grandmas
"[9615.0, 9675.0)",-84.72978603872036,34956,2013,M,2.6791666666666667,-57.36071965412566,-27.369066384594703,Grandmas
"[9615.0, 9675.0)",-15.415067982725835,34956,2014,M,2.6791666666666667,-57.36071965412566,41.94565167139982,Grandmas
"[9615.0, 9675.0)",-138.62943611198907,34956,2015,M,2.6791666666666667,-57.36071965412566,-81.2687164578634,Grandmas
"[9615.0, 9675.0)",91.62907318741551,34956,2016,M,2.6791666666666667,-57.36071965412566,148.98979284154117,Grandmas
"[9615.0, 9675.0)",-109.86122886681098,34956,2017,M,2.6791666666666667,-57.36071965412566,-52.500509212685316,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2018,M,2.6791666666666667,-57.36071965412566,-11.953998401868873,Grandmas
"[9615.0, 9675.0)",-120.39728043259362,34956,2019,M,2.6791666666666667,-57.36071965412566,-63.03656077846796,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,1998,F,2.6791666666666667,-16.875436276051143,-52.439281779943386,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,1999,F,2.6791666666666667,-16.875436276051143,-52.439281779943386,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2002,F,2.6791666666666667,-16.875436276051143,-52.439281779943386,Grandmas
"[9615.0, 9675.0)",69.31471805599453,34956,2003,F,2.6791666666666667,-16.875436276051143,86.19015433204568,Grandmas
"[9615.0, 9675.0)",-91.6290731874155,34956,2011,F,2.6791666666666667,-16.875436276051143,-74.75363691136435,Grandmas
"[9615.0, 9675.0)",40.546510810816436,34956,2012,F,2.6791666666666667,-16.875436276051143,57.421947086867576,Grandmas
"[9615.0, 9675.0)",51.08256237659907,34956,2014,F,2.6791666666666667,-16.875436276051143,67.95799865265022,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,34956,2016,F,2.6791666666666667,-16.875436276051143,-52.439281779943386,Grandmas
"[9615.0, 9675.0)",109.86122886681098,34956,2017,F,2.6791666666666667,-16.875436276051143,126.73666514286212,Grandmas
"[9615.0, 9675.0)",-109.86122886681098,34956,2018,F,2.6791666666666667,-16.875436276051143,-92.98579259075983,Grandmas
"[9615.0, 9675.0)",22.314355131420978,34956,2019,F,2.6791666666666667,-16.875436276051143,39.18979140747212,Grandmas
"[9615.0, 9675.0)",-69.31471805599453,4476,1995,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,2006,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,2008,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",69.31471805599453,4476,2010,F,2.6791666666666667,-18.904014015271233,88.21873207126576,Houston
"[9615.0, 9675.0)",109.86122886681098,4476,2011,F,2.6791666666666667,-18.904014015271233,128.76524288208222,Houston
"[9615.0, 9675.0)",69.31471805599453,4476,2012,F,2.6791666666666667,-18.904014015271233,88.21873207126576,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,2013,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",69.31471805599453,4476,2014,F,2.6791666666666667,-18.904014015271233,88.21873207126576,Houston
"[9615.0, 9675.0)",-109.86122886681098,4476,2015,F,2.6791666666666667,-18.904014015271233,-90.95721485153975,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,2016,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,2018,F,2.6791666666666667,-18.904014015271233,-50.4107040407233,Houston
"[9615.0, 9675.0)",-69.31471805599453,4476,1995,M,2.6791666666666667,-22.23362890689358,-47.081089149100954,Houston
"[9615.0, 9675.0)",-40.54651081081644,4476,1996,M,2.6791666666666667,-22.23362890689358,-18.312881903922865,Houston
"[9615.0, 9675.0)",-40.54651081081644,4476,1997,M,2.6791666666666667,-22.23362890689358,-18.312881903922865,Houston
